ZipCode,RegionID,ZipCode,City,State,Metro,CountyName,SizeRank
48103,78975,48103,Ann Arbor,MI,Ann Arbor,Washtenaw County,228
90004,95985,90004,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,229
29072,70294,29072,Lexington,SC,Columbia,Lexington County,230
30062,70842,30062,Marietta,GA,Atlanta-Sandy Springs-Roswell,Cobb County,231
75206,90759,75206,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,232
33186,72488,33186,The Crossings,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,233
90706,96208,90706,Bellflower,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,234
33012,72350,33012,Hialeah,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,235
30331,71050,30331,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,236
75217,90769,75217,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,237
02155,58666,02155,Medford,MA,Boston-Cambridge-Newton,Middlesex County,238
10701,61895,10701,Yonkers,NY,New York-Newark-Jersey City,Westchester County,239
37130,74187,37130,Murfreesboro,TN,Nashville-Davidson--Murfreesboro--Franklin,Rutherford County,240
92335,96816,92335,Fontana,CA,Riverside-San Bernardino-Ontario,San Bernardino County,241
95123,97991,95123,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,242
91342,96368,91342,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,243
02360,58743,02360,Plymouth,MA,Boston-Cambridge-Newton,Plymouth County,244
20001,66125,20001,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,245
11372,62084,11372,New York,NY,New York-Newark-Jersey City,Queens County,246
32174,71837,32174,Ormond Beach,FL,Deltona-Daytona Beach-Ormond Beach,Volusia County,247
92021,96590,92021,El Cajon,CA,San Diego-Carlsbad,San Diego County,248
93065,97118,93065,Simi Valley,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,249
87121,95315,87121,Albuquerque,NM,Albuquerque,Bernalillo County,250
45840,77850,45840,Findlay,OH,Findlay,Hancock County,251
33063,72392,33063,Margate,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,252
23454,67722,23454,Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,253
72401,89528,72401,Jonesboro,AR,Jonesboro,Craighead County,254
34953,73233,34953,Port Saint Lucie,FL,Port St. Lucie,Saint Lucie County,255
60626,84628,60626,Chicago,IL,Chicago-Naperville-Elgin,Cook County,256
22193,67182,22193,Woodbridge,VA,Washington-Arlington-Alexandria,Prince William County,257
48185,79044,48185,Westland,MI,Detroit-Warren-Dearborn,Wayne County,258
92627,96959,92627,Costa Mesa,CA,Los Angeles-Long Beach-Anaheim,Orange County,259
33027,72365,33027,Miramar,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,260
85705,95043,85705,Tucson,AZ,Tucson,Pima County,261
23666,67787,23666,Hampton,VA,Virginia Beach-Norfolk-Newport News,Hampton City,262
44130,77030,44130,Parma Heights,OH,Cleveland-Elyria,Cuyahoga County,263
90025,96006,90025,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,264
20878,66683,20878,Gaithersburg,MD,Washington-Arlington-Alexandria,Montgomery County,265
30022,70808,30022,Johns Creek,GA,Atlanta-Sandy Springs-Roswell,Fulton County,266
33064,72393,33064,Pompano Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,267
37128,74185,37128,Murfreesboro,TN,Nashville-Davidson--Murfreesboro--Franklin,Rutherford County,268
08831,61200,08831,Monroe,NJ,New York-Newark-Jersey City,Middlesex County,269
20147,66242,20147,Ashburn,VA,Washington-Arlington-Alexandria,Loudoun County,270
90011,95992,90011,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,271
11218,62029,11218,New York,NY,New York-Newark-Jersey City,Kings County,272
20019,66142,20019,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,273
91710,96468,91710,Chino,CA,Riverside-San Bernardino-Ontario,San Bernardino County,274
