,School,Conference,SPORT,FSR,GSR
185,Villanova University,Colonial Athletic Association,MFB,84.0,85.0
187,Bryant University,Northeast Conference,MFB,74.0,91.0
188,University of Rhode Island,Colonial Athletic Association,MFB,58.0,76.0
189,Charleston Southern University,Big South Conference,MFB,41.0,61.0
190,The Citadel,Southern Conference,MFB,67.0,82.0
191,Clemson University,Atlantic Coast Conference,MFB,70.0,87.0
192,Furman University,Southern Conference,MFB,73.0,80.0
193,Presbyterian College,Big South Conference,MFB,57.0,72.0
194,"University of South Carolina, Columbia",Southeastern Conference,MFB,63.0,93.0
195,Coastal Carolina University,Sun Belt Conference,MFB,58.0,73.0
196,South Carolina State University,Mid-Eastern Athletic Conf.,MFB,63.0,68.0
197,Wofford College,Southern Conference,MFB,82.0,94.0
198,South Dakota State University,Missouri Valley Football Conference,MFB,67.0,76.0
199,University of South Dakota,Missouri Valley Football Conference,MFB,56.0,79.0
200,Austin Peay State University,Ohio Valley Conference,MFB,66.0,71.0
201,University of Memphis,American Athletic Conference,MFB,46.0,76.0
202,Middle Tennessee State University,Conference USA,MFB,65.0,86.0
203,University of Tennessee at Chattanooga,Southern Conference,MFB,64.0,80.0
204,"University of Tennessee, Knoxville",Southeastern Conference,MFB,59.0,74.0
205,University of Tennessee at Martin,Ohio Valley Conference,MFB,63.0,75.0
206,Tennessee State University,Ohio Valley Conference,MFB,37.0,50.0
207,Tennessee Technological University,Ohio Valley Conference,MFB,70.0,81.0
208,Vanderbilt University,Southeastern Conference,MFB,84.0,95.0
209,Abilene Christian University,Southland Conference,MFB,41.0,61.0
210,Baylor University,Big 12 Conference,MFB,66.0,87.0
211,University of Houston,American Athletic Conference,MFB,60.0,65.0
212,University of the Incarnate Word,Southland Conference,MFB,54.0,78.0
213,Lamar University,Southland Conference,MFB,59.0,69.0
214,University of North Texas,Conference USA,MFB,65.0,80.0
215,Prairie View A&M University,Southwestern Athletic Conf.,MFB,51.0,61.0
216,Rice University,Conference USA,MFB,77.0,87.0
217,Sam Houston State University,Southland Conference,MFB,50.0,55.0
218,Southern Methodist University,American Athletic Conference,MFB,62.0,71.0
219,Stephen F. Austin State University,Southland Conference,MFB,40.0,44.0
220,Texas State University,Sun Belt Conference,MFB,63.0,71.0
221,"Texas A&M University, College Station",Southeastern Conference,MFB,60.0,71.0
222,University of Texas at Austin,Big 12 Conference,MFB,67.0,78.0
223,University of Texas at El Paso,Conference USA,MFB,51.0,79.0
224,Texas Christian University,Big 12 Conference,MFB,58.0,70.0
225,University of Texas at San Antonio,Conference USA,MFB,63.0,80.0
226,Texas Southern University,Southwestern Athletic Conf.,MFB,39.0,58.0
227,Texas Tech University,Big 12 Conference,MFB,65.0,76.0
228,Brigham Young University,Independent,MFB,47.0,58.0
229,Southern Utah University,Big Sky Conference,MFB,72.0,77.0
230,Utah State University,Mountain West Conference,MFB,63.0,92.0
231,University of Utah,Pac-12 Conference,MFB,67.0,95.0
232,Weber State University,Big Sky Conference,MFB,52.0,67.0
233,College of William & Mary,Colonial Athletic Association,MFB,84.0,87.0
234,Hampton University,Mid-Eastern Athletic Conf.,MFB,54.0,75.0
235,James Madison University,Colonial Athletic Association,MFB,75.0,78.0
236,Liberty University,Big South Conference,MFB,66.0,71.0
237,Norfolk State University,Mid-Eastern Athletic Conf.,MFB,60.0,67.0
238,Old Dominion University,Conference USA,MFB,49.0,70.0
239,University of Richmond,Colonial Athletic Association,MFB,73.0,82.0
240,Virginia Polytechnic Institute and State University,Atlantic Coast Conference,MFB,74.0,90.0
241,University of Virginia,Atlantic Coast Conference,MFB,72.0,85.0
242,Virginia Military Institute,Southern Conference,MFB,63.0,77.0
243,Eastern Washington University,Big Sky Conference,MFB,68.0,75.0
244,Washington State University,Pac-12 Conference,MFB,56.0,75.0
245,University of Washington,Pac-12 Conference,MFB,66.0,84.0
246,Marshall University,Conference USA,MFB,57.0,78.0
247,West Virginia University,Big 12 Conference,MFB,60.0,65.0
248,University of Wisconsin-Madison,Big Ten Conference,MFB,72.0,86.0
249,University of Wyoming,Mountain West Conference,MFB,47.0,78.0
250,Stanford University,Pac-12 Conference,MFB,88.0,95.0
251,Purdue University,Big Ten Conference,MFB,64.0,77.0
