,School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout
86,Oregon,Pac-12,Mario Cristobal,2500000.0,2500000.0,1825000.0,0.0,0,5208333.0
87,Oregon State,Pac-12,Jonathan Smith,1900008.0,1900008.0,1275000.0,0.0,0,4037517.0
88,Penn State,Big Ten,James Franklin,4800000.0,4800000.0,1000000.0,300000.0,0,18375000.0
89,Pittsburgh,ACC,Pat Narduzzi,3017718.0,3017718.0,0.0,0.0,0,0.0
90,Purdue,Big Ten,Jeff Brohm,3800000.0,3800000.0,1290000.0,180000.0,0,21516667.0
92,Rutgers,Big Ten,Chris Ash,2200000.0,2200000.0,960000.0,50000.0,0,10350000.0
93,San Diego State,Mt. West,Rocky Long,872576.0,873576.0,720000.0,95000.0,0,447412.0
94,San Jose State,Mt. West,Brent Brennan,590424.0,590424.0,210000.0,0.0,0,1476060.0
95,South Alabama,Sun Belt,Steve Campbell,600000.0,600000.0,295000.0,0.0,0,918333.0
96,South Carolina,SEC,Will Muschamp,4200000.0,4200000.0,1400000.0,100000.0,0,18650000.0
97,South Florida,AAC,Charlie Strong,1000000.0,1000000.0,815000.0,70000.0,0,192308.0
98,Southern California,Pac-12,Clay Helton,2625965.0,2625965.0,0.0,0.0,0,0.0
100,Southern Mississippi,C-USA,Jay Hopson,500000.0,500000.0,870000.0,15000.0,0,1583333.0
101,Stanford,Pac-12,David Shaw,4311543.0,4311543.0,0.0,0.0,0,0.0
102,Syracuse,ACC,Dino Babers,2401206.0,2401206.0,0.0,0.0,0,0.0
103,Tennessee,SEC,Jeremy Pruitt,3846000.0,3846000.0,1200000.0,0.0,0,11780000.0
104,Texas,Big 12,Tom Herman,5500000.0,5500000.0,725000.0,75000.0,0,15416667.0
105,Texas A&M,SEC,Jimbo Fisher,7500000.0,7500000.0,1350000.0,0.0,0,68125000.0
106,Texas Christian,Big 12,Gary Patterson,4840717.0,4840717.0,0.0,0.0,0,0.0
107,Texas State,Sun Belt,Everett Withers,700000.0,700000.0,70833.0,0.0,0,773958.0
108,Texas Tech,Big 12,Kliff Kingsbury,3703975.0,3703975.0,1500000.0,25000.0,0,4231250.0
109,Texas-El Paso,C-USA,Dana Dimel,700000.0,700000.0,741665.0,0.0,0,2991667.0
110,Texas-San Antonio,C-USA,Frank Wilson,1100000.0,1100000.0,185000.0,17500.0,0,3562500.0
111,Toledo,MAC,Jason Candle,1125000.0,1125000.0,585000.0,210000.0,0,3558333.0
112,Troy,Sun Belt,Neal Brown,810000.0,810000.0,490000.0,100000.0,0,2911667.0
113,Tulane,AAC,Willie Fritz,1629000.0,1629000.0,0.0,0.0,0,0.0
114,Tulsa,AAC,Philip Montgomery,1518177.0,1518177.0,0.0,0.0,0,0.0
115,UCLA,Pac-12,Chip Kelly,3300000.0,3300000.0,1085000.0,0.0,0,9000000.0
116,Utah,Pac-12,Kyle Whittingham,3787917.0,3787917.0,935000.0,279167.0,0,9250000.0
117,Utah State,Mt. West,Matt Wells,900000.0,900000.0,765000.0,65000.0,0,2122917.0
118,Vanderbilt,SEC,Derek Mason,2812523.0,2812523.0,0.0,0.0,0,0.0
119,Virginia,ACC,Bronco Mendenhall,3550000.0,3550000.0,2165000.0,75000.0,0,18193750.0
120,Virginia Tech,ACC,Justin Fuente,4000000.0,4000000.0,435000.0,75000.0,0,15000000.0
121,Wake Forest,ACC,Dave Clawson,1831580.0,1831580.0,0.0,0.0,0,0.0
122,Washington,Pac-12,Chris Petersen,4375000.0,4377500.0,1050000.0,300000.0,0,26354166.0
123,Washington State,Pac-12,Mike Leach,3500000.0,3500000.0,725000.0,75000.0,0,4900000.0
124,West Virginia,Big 12,Dana Holgorsen,3605000.0,3617500.0,1000000.0,90000.0,0,7150000.0
125,Western Kentucky,C-USA,Mike Sanford Jr.,800000.0,805850.0,400000.0,0.0,0,1200000.0
126,Western Michigan,MAC,Tim Lester,800000.0,800000.0,346500.0,39250.0,0,800000.0
127,Wisconsin,Big Ten,Paul Chryst,3750000.0,3750000.0,0.0,290000.0,0,6000000.0
128,Wyoming,Mt. West,Craig Bohl,1412000.0,1412000.0,450000.0,236000.0,0,8016667.0
