,School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,stadium_team,StadiumCapacity,grad_conf,FSR,GSR,Pct
59,Memphis,AAC,Mike Norvell,2600000.0,2600000.0,775000.0,185000.0,0,7431667.0,Memphis,62380,American Athletic Conference,46.0,76.0,0.5714285714285714
60,Miami (Fla.),ACC,Mark Richt,4058061.0,4058061.0,0.0,0.0,0,0.0,Miami,65326,Atlantic Coast Conference,59.0,82.0,0.5384615384615384
61,Miami (Ohio),MAC,Chuck Martin,524826.0,524826.0,582110.0,12669.0,0,522300.0,Miami,24286,Mid-American Conference,74.0,87.0,0.5
62,Michigan,Big Ten,Jim Harbaugh,7504000.0,7504000.0,1325000.0,150000.0,0,17111110.0,Michigan,107601,Big Ten Conference,69.0,87.0,0.7692307692307693
63,Michigan State,Big Ten,Mark Dantonio,4390417.0,4390417.0,650000.0,125000.0,0,7000000.0,Michigan State,75005,Big Ten Conference,67.0,82.0,0.5384615384615384
64,Middle Tennessee,C-USA,Rick Stockstill,801504.0,803004.0,126142.0,65142.0,0,6633774.0,Middle Tennessee,31000,Conference USA,65.0,86.0,0.5714285714285714
65,Minnesota,Big Ten,P.J. Fleck,3550000.0,3550000.0,900000.0,0.0,0,9291667.0,Minnesota,50805,Big Ten Conference,71.0,89.0,0.5384615384615384
66,Mississippi,SEC,Matt Luke,3000000.0,3000000.0,1550000.0,0.0,0,0.0,Mississippi,64038,Southeastern Conference,52.0,68.0,0.4166666666666667
67,Mississippi State,SEC,Joe Moorhead,2600000.0,2600000.0,1350000.0,0.0,0,0.0,Mississippi State,61337,Southeastern Conference,68.0,83.0,0.6153846153846154
68,Missouri,SEC,Barry Odom,2350000.0,2350000.0,1025000.0,375000.0,0,1912500.0,Missouri,71168,Southeastern Conference,77.0,89.0,0.6153846153846154
69,Navy,AAC,Ken Niumatalolo,2163000.0,2163000.0,0.0,0.0,0,0.0,Navy,34000,American Athletic Conference,100.0,81.0,0.23076923076923078
70,Nebraska,Big Ten,Scott Frost,5000000.0,5000000.0,950000.0,0.0,0,25416667.0,Nebraska,86047,Big Ten Conference,72.0,82.0,0.3333333333333333
71,Nevada,Mt. West,Jay Norvell,500000.0,500000.0,210000.0,0.0,0,900000.0,Nevada,26000,Mountain West Conference,43.0,69.0,0.6153846153846154
72,Nevada-Las Vegas,Mt. West,Tony Sanchez,600000.0,600000.0,260000.0,0.0,0,950000.0,UNLV,36800,Mountain West Conference,56.0,63.0,0.3333333333333333
73,New Mexico,Mt. West,Bob Davie,822690.0,823740.0,340000.0,0.0,0,1303294.0,New Mexico,39224,Mountain West Conference,41.0,59.0,0.25
75,North Carolina,ACC,Larry Fedora,2575000.0,2575000.0,900000.0,50000.0,0,12215625.0,North Carolina,51000,Atlantic Coast Conference,48.0,62.0,0.18181818181818182
76,North Carolina State,ACC,Dave Doeren,3000000.0,3000000.0,1350000.0,275000.0,0,6125000.0,NC State,57583,Atlantic Coast Conference,61.0,74.0,0.6923076923076923
77,North Texas,C-USA,Seth Littrell,1425000.0,1425000.0,580000.0,130000.0,0,4425000.0,North Texas,30850,Conference USA,65.0,80.0,0.6923076923076923
78,Northern Illinois,MAC,Rod Carey,633460.0,633460.0,205000.0,42500.0,0,1822918.0,NIU,23595,Mid-American Conference,63.0,83.0,0.5714285714285714
79,Northwestern,Big Ten,Pat Fitzgerald,3619775.0,3619775.0,0.0,0.0,0,0.0,Northwestern,47130,Big Ten Conference,92.0,99.0,0.6428571428571429
80,Notre Dame,Ind.,Brian Kelly,2129638.0,2129638.0,0.0,0.0,0,0.0,Notre Dame,77622,Independent,87.0,95.0,0.9230769230769231
81,Ohio,MAC,Frank Solich,580331.0,580331.0,333833.0,60772.0,0,558275.0,Ohio,24000,Mid-American Conference,68.0,80.0,0.6923076923076923
82,Ohio State,Big Ten,Urban Meyer,7600000.0,7600000.0,775000.0,350000.0,0,38058402.0,Ohio State,102082,Big Ten Conference,44.0,64.0,0.9285714285714286
83,Oklahoma,Big 12,Lincoln Riley,4800000.0,4800000.0,700000.0,180000.0,0,20833333.0,Oklahoma,86112,Big 12 Conference,59.0,76.0,0.8571428571428571
84,Oklahoma State,Big 12,Mike Gundy,5000000.0,5000000.0,900000.0,62500.0,0,16250000.0,Oklahoma State,60218,Big 12 Conference,36.0,46.0,0.5384615384615384
85,Old Dominion,C-USA,Bobby Wilder,654667.0,654667.0,504895.0,0.0,0,1200000.0,Old Dominion,22480,Conference USA,49.0,70.0,0.3333333333333333
86,Oregon,Pac-12,Mario Cristobal,2500000.0,2500000.0,1825000.0,0.0,0,5208333.0,Oregon,54000,Pac-12 Conference,63.0,71.0,0.6923076923076923
87,Oregon State,Pac-12,Jonathan Smith,1900008.0,1900008.0,1275000.0,0.0,0,4037517.0,Oregon State,45674,Pac-12 Conference,47.0,64.0,0.16666666666666666
88,Penn State,Big Ten,James Franklin,4800000.0,4800000.0,1000000.0,300000.0,0,18375000.0,Penn State,106572,Big Ten Conference,66.0,82.0,0.6923076923076923
89,Pittsburgh,ACC,Pat Narduzzi,3017718.0,3017718.0,0.0,0.0,0,0.0,Pittsburgh,68400,Atlantic Coast Conference,49.0,75.0,0.5
90,Purdue,Big Ten,Jeff Brohm,3800000.0,3800000.0,1290000.0,180000.0,0,21516667.0,Purdue,57236,Big Ten Conference,64.0,77.0,0.46153846153846156
92,Rutgers,Big Ten,Chris Ash,2200000.0,2200000.0,960000.0,50000.0,0,10350000.0,Rutgers,52454,Big Ten Conference,55.0,78.0,0.08333333333333333
93,San Diego State,Mt. West,Rocky Long,872576.0,873576.0,720000.0,95000.0,0,447412.0,San Diego State,70561,Mountain West Conference,70.0,74.0,0.5384615384615384
94,San Jose State,Mt. West,Brent Brennan,590424.0,590424.0,210000.0,0.0,0,1476060.0,San Jose State,30456,Mountain West Conference,74.0,80.0,0.08333333333333333
95,South Alabama,Sun Belt,Steve Campbell,600000.0,600000.0,295000.0,0.0,0,918333.0,South Alabama,40000,Sun Belt Conference,55.0,66.0,0.25
